std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
VINYA WINE AND MARKET,LIQUOR/PACKAGE STORE,OFF,328 CRANDON BLVD UNITS 122-123,KEY BISCAYNE,FL,33149
FRANKS LIQUOR & MARKET,LIQUOR/PACKAGE STORE,OFF,10559 SANTA MONICA,WEST LOS ANGELES,CA,90025
LEE S LIQUOR #16 BOCA,LIQUOR/PACKAGE STORE,OFF,780 S RAMPART,LAS VEGAS,NV,89145
SUNNY S LIQUOR,LIQUOR/PACKAGE STORE,OFF,5603 HWY 67 EAST,ALVARADO,TX,76009
BEVERLY LIQUOR,LIQUOR/PACKAGE STORE,OFF,8253 W 3RD ST,LOS ANGELES,CA,90048
MARUICHI JAPANESE FOOD AND DEL,LIQUOR/PACKAGE STORE,OFF,306 HARVARD ST,BROOKLINE,MA,02446
EMILIOS BEVERAGE WAREHOUSE,LIQUOR/PACKAGE STORE,OFF,17251 LAKEWOOD BL,BELLFLOWER,CA,90706
LIQUOR LIBRARY,LIQUOR/PACKAGE STORE,OFF,7433 OAKMONT BLVD,FORT WORTH,TX,76132
COSTA MESA WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,891 BAKER ST #B1,COSTA MESA,CA,92626
J & J SPIRIT SHOP,LIQUOR/PACKAGE STORE,OFF,199 RAILROAD AVE,SAYVILLE,NY,11782
JAY S WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,1702 PRESIDENT AVE,FALL RIVER,MA,02720
WALDEN LIQUORS,LIQUOR/PACKAGE STORE,OFF,18 WALDEN ST,CONCORD,MA,01742
HARBORSIDE WINE & SPIRIT,LIQUOR/PACKAGE STORE,OFF,109 FRONT ST,SCITUATE,MA,02066
JULIO S LIQUORS INC,LIQUOR/PACKAGE STORE,OFF,140 TURNPIKE RD,WESTBORO,MA,01581
COLONIAL SPIRITS,LIQUOR/PACKAGE STORE,OFF,BOX 2350 87 GREAT RD,ACTON,MA,01720
ACTON WINE & SPIRIT CO,LIQUOR/PACKAGE STORE,OFF,305 MAIN ST  RTE 27,ACTON,MA,01720
129 Package Store,LIQUOR/PACKAGE STORE,OFF,2126 Athens Hwy,Gainesville,GA,30507
Summit Stores,LIQUOR/PACKAGE STORE,OFF,1920 GA Hwy 18,West Point,GA,31833
Nitro 2 Go Beverages,LIQUOR/PACKAGE STORE,OFF,9135 Martin Luther King Jr Ave,Covington,GA,30014
