id,created_at,std_account_name,raw_vip_name,city,state,class_of_trade,on_off_premise,address,zip_code
94254680-766e-45c0-8a1f-84c50bf689a7,2025-05-18 19:50:41.054755+00,RJ S WINE & SPIRITS,,FORT COLLINS,CO,LIQUOR/PACKAGE STORE,OFF,4321 CORBETT DRIVE SUITE 100,80528
94274a7d-a38f-4863-95d4-b831d566eaf0,2025-05-18 19:50:41.054755+00,Stateline Liquor,,Ringgold,GA,LIQUOR/PACKAGE STORE,OFF,52 Highway 41,30736
9435cdf1-54bf-4d83-b751-8add0d85d4cd,2025-05-18 19:50:41.054755+00,BRASSERIE BRIXTON,,DENVER,CO,RESTAURANT,ON,3701 N WILLIAMS ST,80205
943fd743-80c6-4624-ac89-54a40fd0b59a,2025-05-18 19:50:41.054755+00,Mountain Package Store,,Stone Mountain,GA,LIQUOR/PACKAGE STORE,OFF,5765 Rockbridge Rd  Ste D,30087
94688429-b7dc-45e0-a3d4-9993893ded6f,2025-05-18 19:50:41.054755+00,STARBOARD TACK,,LAS VEGAS,NV,BAR/TAVERN,ON,2601 ATLANTIC ST,89121
947effe9-dbb1-4451-874a-167446f388c9,2025-05-18 19:50:41.054755+00,WINE HUT CORP  THE,,NEW YORK,NY,LIQUOR/PACKAGE STORE,OFF,197 6TH AVE,10014
948968fe-601a-4602-9609-a4d82f29e94d,2025-05-18 19:50:41.054755+00,ABC Package,,Athens,GA,LIQUOR/PACKAGE STORE,OFF,2303 W Broad St,30606
94bad62d-7375-49b7-bf05-e97c67b55289,2025-05-18 19:50:41.054755+00,JULIO S LIQUORS INC,,WESTBORO,MA,LIQUOR/PACKAGE STORE,OFF,140 TURNPIKE RD,01581
94dfe870-c047-48d5-9a5c-a4b333be4478,2025-05-18 19:50:41.054755+00,MISSION LIQUOR & WINES WHSE,,SAN GABRIEL,CA,OTHER OFF PREMISE,OFF,445-447 MADERA STREET,91776
94f6c014-d103-4ede-821f-12d6b01705ba,2025-05-18 19:50:41.054755+00,Shell Food Mart,,Roswell,GA,CONVENIENCE/ GAS,OFF,890 Atlanta St,30095
95233d18-f2a9-4969-b305-e9d81550b1e3,2025-05-18 19:50:41.054755+00,SPHERE LAS VEGAS LLC,,LAS VEGAS,NV,GOLF/ COUNTRY CLUB,ON,255 SANDS AVE.,89169
956b2752-8fce-4c6f-86a0-7e8dad95166b,2025-05-18 19:50:41.054755+00,HOUSE OF AMBROSE WINE/SPIRITS,,LOS ANGELES,CA,LIQUOR/PACKAGE STORE,OFF,3331 BARHAM BL,90068
95826845-4eb4-4c48-a53d-a81c47771240,2025-05-18 19:50:41.054755+00,EMPLOYEE PURCHASES,,AURORA,CO,OTHER OFF PREMISE,OFF,22800 EAST 19TH AVE,80019
95a35270-8e04-4093-aced-e291f06c9da7,2025-05-18 19:50:41.054755+00,TEAM #061 GARCIA,,UNION CITY,CA,OTHER OFF PREMISE,OFF,33321 DOWE AVE,94587
